# //  Questa Sim-64
# //  Version 2023.4 linux_x86_64 Oct  9 2023
# //
# //  Copyright 1991-2023 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
do init.tcl
# ../../../sw/tests/helloworld.spm.elf
# 0
# 1
# QuestaSim-64 vlog 2023.4 Compiler 2023.10 Oct  9 2023
# Start time: 12:42:32 on Mar 25,2026
# vlog -reportprogress 300 -incr -sv -suppress 2583 -suppress 13314 -timescale 1ns/1ps "+define+TARGET_CV64A6_IMAFDCHSCLIC_SV39_WB" "+define+TARGET_CVA6" "+define+TARGET_RTL" "+define+TARGET_SIM" "+define+TARGET_SIMULATION" "+define+TARGET_TEST" "+define+TARGET_VSIM" /mnt/chair-nas/volume/space/chchen/NMC/cheshire/.bender/git/checkouts/common_verification-8eae3e9fca231308/src/clk_rst_gen.sv /mnt/chair-nas/volume/space/chchen/NMC/cheshire/.bender/git/checkouts/common_verification-8eae3e9fca231308/src/rand_id_queue.sv /mnt/chair-nas/volume/space/chchen/NMC/cheshire/.bender/git/checkouts/common_verification-8eae3e9fca231308/src/rand_stream_mst.sv /mnt/chair-nas/volume/space/chchen/NMC/cheshire/.bender/git/checkouts/common_verification-8eae3e9fca231308/src/rand_synch_holdable_driver.sv /mnt/chair-nas/volume/space/chchen/NMC/cheshire/.bender/git/checkouts/common_verification-8eae3e9fca231308/src/rand_verif_pkg.sv /mnt/chair-nas/volume/space/chchen/NMC/cheshire/.bender/git/checkouts/common_verification-8eae3e9fca231308/src/signal_highlighter.sv /mnt/chair-nas/volume/space/chchen/NMC/cheshire/.bender/git/checkouts/common_verification-8eae3e9fca231308/src/sim_timeout.sv /mnt/chair-nas/volume/space/chchen/NMC/cheshire/.bender/git/checkouts/common_verification-8eae3e9fca231308/src/stream_watchdog.sv /mnt/chair-nas/volume/space/chchen/NMC/cheshire/.bender/git/checkouts/common_verification-8eae3e9fca231308/src/rand_synch_driver.sv /mnt/chair-nas/volume/space/chchen/NMC/cheshire/.bender/git/checkouts/common_verification-8eae3e9fca231308/src/rand_stream_slv.sv 
# -- Skipping module clk_rst_gen
# -- Skipping package rand_id_queue_pkg
# -- Skipping module rand_stream_mst
# -- Skipping module rand_synch_holdable_driver
# -- Skipping package rand_verif_pkg
# -- Skipping module signal_highlighter
# -- Skipping module sim_timeout
# -- Skipping module stream_watchdog
# -- Skipping module rand_synch_driver
# -- Skipping module rand_stream_slv
# 
